gene	family	Phylostratum
at3g43083	HOM038367	AT
at3g43110	HOM006737	Rosids
at3g43120	HOM000049	LandPlants
at3g43148	HOM006366	AT
at3g43150	HOM006366	AT
at3g43153	HOM034279	AT
at3g43160	HOM023043	AT
at3g43170	HOM001404	Arabidopsis
at3g43180	HOM000287	GreenPlants
at3g43190	HOM000563	LandPlants
at3g43210	HOM000030	GreenPlants
at3g43220	HOM001013	GreenPlants
at3g43230	HOM001572	GreenPlants
at3g43240	HOM002326	GreenPlants
at3g43250	HOM001045	GreenPlants
at3g43260	HOM022162	Arabidopsis
at3g43270	HOM000034	GreenPlants
at3g43280	HOM013361	Arabidopsis
at3g43290	HOM054816	AT
at3g43291	HOM034269	AT
at3g43300	HOM000397	GreenPlants
at3g43340	HOM003253	GreenPlants
at3g43400	HOM000962	GreenPlants
at3g43402	HOM124725	AT
at3g43410	HOM006934	Rosids
at3g43420	HOM052732	AT
at3g43430	HOM000013	GreenPlants
at3g43431	HOM088037	AT
at3g43432	HOM083877	AT
at3g43440	HOM004928	Angiosperms
at3g43470	HOM013002	AT
at3g43480	HOM013002	AT
at3g43490	HOM003232	GreenPlants
at3g43500	HOM018285	Arabidopsis
at3g43505	HOM007788	Arabidopsis
at3g43520	HOM005329	LandPlants
at3g43540	HOM002389	GreenPlants
at3g43550	HOM000029	LandPlants
at3g43570	HOM000029	LandPlants
at3g43572	HOM071350	AT
at3g43574	HOM025327	AT
at3g43580	HOM011527	Arabidopsis
at3g43583	HOM123472	AT
at3g43590	HOM003232	GreenPlants
at3g43600	HOM000717	GreenPlants
at3g43610	HOM004253	GreenPlants
at3g43623	HOM038373	AT
at3g43630	HOM000887	GreenPlants
at3g43660	HOM000887	GreenPlants
at3g43670	HOM000541	GreenPlants
at3g43682	HOM058894	AT
at3g43700	HOM000100	GreenPlants
at3g43710	HOM000376	Angiosperms
at3g43720	HOM000930	LandPlants
at3g43722	HOM081772	AT
at3g43740	HOM000004	GreenPlants
at3g43750	HOM000287	GreenPlants
at3g43790	HOM000743	GreenPlants
at3g43800	HOM000077	GreenPlants
at3g43810	HOM000014	GreenPlants
at3g43829	HOM085938	AT
at3g43833	HOM018635	Arabidopsis
at3g43840	HOM002666	GreenPlants
at3g43850	HOM002854	LandPlants
at3g43860	HOM000137	GreenPlants
at3g43870	HOM008951	Arabidopsis
at3g43880	HOM007128	Arabidopsis
at3g43890	HOM000182	LandPlants
at3g43900	HOM006195	GreenPlants
at3g43910	HOM006195	GreenPlants
at3g43920	HOM000204	GreenPlants
at3g43930	HOM004840	LandPlants
at3g43940	HOM000528	LandPlants
at3g43950	HOM000558	GreenPlants
at3g43960	HOM000058	GreenPlants
at3g43970	HOM001404	Arabidopsis
at3g43980	HOM001080	GreenPlants
at3g43990	HOM001619	LandPlants
at3g44006	HOM069243	AT
at3g44010	HOM001080	GreenPlants
at3g44020	HOM006068	GreenPlants
at3g44050	HOM000030	GreenPlants
at3g44060	HOM000206	Eudicots
at3g44070	HOM007129	Arabidopsis
at3g44080	HOM000206	Eudicots
at3g44090	HOM000206	Eudicots
at3g44091	HOM060939	AT
at3g44100	HOM000198	GreenPlants
at3g44110	HOM000109	GreenPlants
at3g44115	HOM001971	Rosids
at3g44120	HOM000209	Arabidopsis
at3g44130	HOM000209	Arabidopsis
at3g44140	HOM102580	AT
at3g44150	HOM001511	GreenPlants
at3g44160	HOM000448	GreenPlants
at3g44170	HOM010497	Arabidopsis
at3g44171	HOM016652	Arabidopsis
at3g44180	HOM000206	Eudicots
at3g44190	HOM002609	GreenPlants
at3g44200	HOM000651	GreenPlants
at3g44210	HOM008951	Arabidopsis
at3g44220	HOM000572	LandPlants
at3g44230	HOM025317	Arabidopsis
at3g44235	HOM025319	Arabidopsis
at3g44240	HOM000310	GreenPlants
at3g44250	HOM000005	GreenPlants
at3g44260	HOM000310	GreenPlants
at3g44261	HOM044525	AT
at3g44280	HOM000018	LandPlants
at3g44290	HOM000018	LandPlants
at3g44300	HOM002062	LandPlants
at3g44310	HOM002062	LandPlants
at3g44320	HOM002062	LandPlants
at3g44326	HOM001090	LandPlants
at3g44330	HOM005218	LandPlants
at3g44340	HOM001178	GreenPlants
at3g44350	HOM000018	LandPlants
at3g44370	HOM004805	LandPlants
at3g44380	HOM006531	LandPlants
at3g44400	HOM000008	GreenPlants
at3g44428	HOM007301	Arabidopsis
at3g44430	HOM014135	Arabidopsis
at3g44440	HOM036403	AT
at3g44450	HOM002608	Angiosperms
at3g44460	HOM000357	LandPlants
at3g44480	HOM000008	GreenPlants
at3g44490	HOM000670	GreenPlants
at3g44510	HOM000598	LandPlants
at3g44530	HOM002536	GreenPlants
at3g44540	HOM000480	GreenPlants
at3g44550	HOM000480	GreenPlants
at3g44560	HOM000480	GreenPlants
at3g44570	HOM013918	AT
at3g44580	HOM013918	AT
at3g44590	HOM001040	GreenPlants
at3g44600	HOM000111	GreenPlants
at3g44610	HOM000076	GreenPlants
at3g44620	HOM000076	GreenPlants
at3g44630	HOM000008	GreenPlants
at3g44660	HOM000670	GreenPlants
at3g44670	HOM000008	GreenPlants
at3g44680	HOM000670	GreenPlants
at3g44690	HOM000670	GreenPlants
at3g44700	HOM000081	Angiosperms
at3g44704	HOM044528	AT
at3g44710	HOM000081	Angiosperms
at3g44713	HOM026000	AT
at3g44716	HOM007852	Eudicots
at3g44718	HOM010158	Arabidopsis
at3g44720	HOM000815	GreenPlants
at3g44730	HOM000030	GreenPlants
at3g44735	HOM005623	Eudicots
at3g44740	HOM001001	GreenPlants
at3g44750	HOM001528	LandPlants
at3g44755	HOM018518	Arabidopsis
at3g44760	HOM011706	Arabidopsis
at3g44770	HOM003768	Arabidopsis
at3g44780	HOM012985	Arabidopsis
at3g44783	HOM040401	AT
at3g44784	HOM040437	AT
at3g44785	HOM001116	GreenPlants
at3g44790	HOM000218	GreenPlants
at3g44800	HOM000218	GreenPlants
at3g44805	HOM000218	GreenPlants
at3g44810	HOM000206	Eudicots
at3g44820	HOM000092	GreenPlants
at3g44830	HOM002341	GreenPlants
at3g44840	HOM000142	LandPlants
at3g44850	HOM001157	GreenPlants
at3g44860	HOM000142	LandPlants
at3g44870	HOM000142	LandPlants
at3g44880	HOM000579	GreenPlants
at3g44890	HOM005026	GreenPlants
at3g44900	HOM000133	GreenPlants
at3g44910	HOM000133	GreenPlants
at3g44920	HOM000133	GreenPlants
at3g44930	HOM000133	GreenPlants
at3g44935	HOM030129	AT
at3g44940	HOM001420	LandPlants
at3g44950	HOM114567	AT
at3g44960	HOM020609	Arabidopsis
at3g44970	HOM000072	GreenPlants
at3g44980	HOM013343	Arabidopsis
at3g44990	HOM000089	LandPlants
at3g45000	HOM003224	GreenPlants
at3g45010	HOM000054	GreenPlants
at3g45020	HOM006171	Angiosperms
at3g45030	HOM000461	GreenPlants
at3g45040	HOM004808	GreenPlants
at3g45050	HOM000025	GreenPlants
at3g45060	HOM000812	GreenPlants
at3g45070	HOM000207	GreenPlants
at3g45080	HOM000207	GreenPlants
at3g45090	HOM002806	GreenPlants
at3g45093	HOM014520	Arabidopsis
at3g45100	HOM001777	GreenPlants
at3g45110	HOM000335	LandPlants
at3g45130	HOM000213	GreenPlants
at3g45140	HOM000181	GreenPlants
at3g45150	HOM000335	LandPlants
at3g45160	HOM031878	Arabidopsis
at3g45170	HOM000164	GreenPlants
at3g45180	HOM000900	GreenPlants
at3g45190	HOM000900	GreenPlants
at3g45200	HOM001129	Angiosperms
at3g45210	HOM000438	LandPlants
at3g45220	HOM000290	GreenPlants
at3g45230	HOM028153	Arabidopsis
at3g45240	HOM000044	GreenPlants
at3g45242	HOM110669	AT
at3g45243	HOM007301	Arabidopsis
at3g45245	HOM007301	Arabidopsis
at3g45248	HOM007301	Arabidopsis
at3g45252	HOM007301	Arabidopsis
at3g45260	HOM000150	GreenPlants
at3g45275	HOM007301	Arabidopsis
at3g45280	HOM001603	GreenPlants
at3g45285	HOM007301	Arabidopsis
at3g45290	HOM000173	GreenPlants
at3g45300	HOM002550	GreenPlants
at3g45310	HOM000058	GreenPlants
at3g45320	HOM014536	Arabidopsis
at3g45330	HOM000041	GreenPlants
at3g45390	HOM000041	GreenPlants
at3g45400	HOM000569	LandPlants
at3g45410	HOM000041	GreenPlants
at3g45420	HOM000041	GreenPlants
at3g45430	HOM000041	GreenPlants
at3g45440	HOM000041	GreenPlants
at3g45443	HOM022004	Arabidopsis
at3g45450	HOM000309	GreenPlants
at3g45460	HOM000287	GreenPlants
at3g45470	HOM000287	GreenPlants
at3g45480	HOM000287	GreenPlants
at3g45490	HOM000287	GreenPlants
at3g45500	HOM013004	Arabidopsis
at3g45510	HOM000287	GreenPlants
at3g45525	HOM013004	Arabidopsis
at3g45530	HOM000182	LandPlants
at3g45540	HOM000287	GreenPlants
at3g45555	HOM000287	GreenPlants
at3g45560	HOM000287	GreenPlants
at3g45570	HOM000287	GreenPlants
at3g45577	HOM000873	GreenPlants
at3g45580	HOM000287	GreenPlants
at3g45590	HOM000873	GreenPlants
at3g45600	HOM000324	LandPlants
at3g45610	HOM000099	GreenPlants
at3g45620	HOM002081	GreenPlants
at3g45630	HOM002216	GreenPlants
at3g45640	HOM000019	GreenPlants
at3g45650	HOM000031	GreenPlants
at3g45660	HOM000031	GreenPlants
at3g45670	HOM000043	GreenPlants
at3g45673	HOM090071	AT
at3g45680	HOM000031	GreenPlants
at3g45690	HOM000031	GreenPlants
at3g45700	HOM000031	GreenPlants
at3g45710	HOM000031	GreenPlants
at3g45720	HOM000031	GreenPlants
at3g45730	HOM069277	AT
at3g45740	HOM004434	GreenPlants
at3g45750	HOM002146	GreenPlants
at3g45760	HOM002146	GreenPlants
at3g45770	HOM002546	GreenPlants
at3g45780	HOM000076	GreenPlants
at3g45790	HOM000043	GreenPlants
at3g45800	HOM009171	Arabidopsis
at3g45810	HOM000327	GreenPlants
at3g45820	HOM046612	AT
at3g45830	HOM002867	LandPlants
at3g45840	HOM000182	LandPlants
at3g45850	HOM000030	GreenPlants
at3g45851	HOM122539	AT
at3g45860	HOM000006	LandPlants
at3g45870	HOM000059	GreenPlants
at3g45880	HOM005259	GreenPlants
at3g45890	HOM001315	GreenPlants
at3g45900	HOM006447	Angiosperms
at3g45910	HOM026587	Arabidopsis
at3g45920	HOM000017	GreenPlants
at3g45930	HOM000364	GreenPlants
at3g45940	HOM000508	GreenPlants
at3g45950	HOM002625	GreenPlants
at3g45960	HOM000065	GreenPlants
at3g45970	HOM000065	GreenPlants
at3g45980	HOM000269	GreenPlants
at3g45990	HOM000392	GreenPlants
at3g46000	HOM000392	GreenPlants
at3g46010	HOM000392	GreenPlants
at3g46020	HOM000057	GreenPlants
at3g46030	HOM000269	GreenPlants
at3g46040	HOM000586	GreenPlants
at3g46050	HOM000376	Angiosperms
at3g46060	HOM000032	GreenPlants
at3g46070	HOM000155	LandPlants
at3g46080	HOM000155	LandPlants
at3g46086	HOM044509	AT
at3g46090	HOM000155	LandPlants
at3g46100	HOM003551	GreenPlants
at3g46110	HOM000796	LandPlants
at3g46120	HOM000235	GreenPlants
at3g46130	HOM000007	GreenPlants
at3g46140	HOM000043	GreenPlants
at3g46150	HOM034278	AT
at3g46160	HOM000043	GreenPlants
at3g46170	HOM000051	GreenPlants
at3g46180	HOM002925	GreenPlants
at3g46190	HOM000642	Angiosperms
at3g46200	HOM005390	GreenPlants
at3g46206	HOM071383	AT
at3g46210	HOM002553	GreenPlants
at3g46220	HOM003812	GreenPlants
at3g46230	HOM000139	GreenPlants
at3g46240	HOM000017	GreenPlants
at3g46260	HOM000017	GreenPlants
at3g46270	HOM000017	GreenPlants
at3g46280	HOM000017	GreenPlants
at3g46290	HOM000017	GreenPlants
at3g46300	HOM003633	Angiosperms
at3g46310	HOM003633	Angiosperms
at3g46320	HOM000364	GreenPlants
at3g46330	HOM000017	GreenPlants
at3g46340	HOM000017	GreenPlants
at3g46350	HOM000017	GreenPlants
at3g46360	HOM018518	Arabidopsis
at3g46370	HOM000017	GreenPlants
at3g46380	HOM079718	AT
at3g46390	HOM012996	Arabidopsis
at3g46400	HOM000017	GreenPlants
at3g46410	HOM000017	GreenPlants
at3g46420	HOM000017	GreenPlants
at3g46430	HOM003766	Angiosperms
at3g46440	HOM000496	GreenPlants
at3g46450	HOM004384	LandPlants
at3g46460	HOM000068	GreenPlants
at3g46470	HOM023008	Arabidopsis
at3g46480	HOM000011	GreenPlants
at3g46490	HOM000011	GreenPlants
at3g46500	HOM000011	GreenPlants
at3g46510	HOM000047	GreenPlants
at3g46520	HOM000179	GreenPlants
at3g46530	HOM000024	Angiosperms
at3g46540	HOM001882	LandPlants
at3g46550	HOM000515	LandPlants
at3g46560	HOM003901	GreenPlants
at3g46570	HOM000021	GreenPlants
at3g46580	HOM006832	Eudicots
at3g46590	HOM001587	LandPlants
at3g46600	HOM000042	GreenPlants
at3g46610	HOM000003	GreenPlants
at3g46613	HOM010782	Rosids
at3g46616	HOM079696	AT
at3g46620	HOM000079	GreenPlants
at3g46630	HOM000794	LandPlants
at3g46640	HOM000176	GreenPlants
at3g46650	HOM000023	GreenPlants
at3g46660	HOM000023	GreenPlants
at3g46666	HOM034283	AT
at3g46670	HOM000023	GreenPlants
at3g46680	HOM000023	GreenPlants
at3g46690	HOM000023	GreenPlants
at3g46700	HOM000023	GreenPlants
at3g46710	HOM000024	Angiosperms
at3g46720	HOM000023	GreenPlants
at3g46730	HOM000024	Angiosperms
at3g46740	HOM000457	GreenPlants
at3g46750	HOM007132	Eudicots
at3g46760	HOM000041	GreenPlants
at3g46770	HOM006554	Arabidopsis
at3g46780	HOM005486	LandPlants
at3g46790	HOM000001	GreenPlants
at3g46800	HOM000182	LandPlants
at3g46810	HOM000182	LandPlants
at3g46820	HOM000094	GreenPlants
at3g46830	HOM000032	GreenPlants
at3g46840	HOM000020	GreenPlants
at3g46850	HOM000020	GreenPlants
at3g46860	HOM001344	Angiosperms
at3g46870	HOM001427	LandPlants
at3g46880	HOM022180	Arabidopsis
at3g46890	HOM001469	LandPlants
at3g46900	HOM001495	Angiosperms
at3g46901	HOM056806	AT
at3g46904	HOM069271	AT
at3g46910	HOM000283	GreenPlants
at3g46920	HOM000027	GreenPlants
at3g46930	HOM000027	GreenPlants
at3g46940	HOM005419	GreenPlants
at3g46950	HOM000214	VascularPlants
at3g46960	HOM000948	GreenPlants
at3g46970	HOM001180	GreenPlants
at3g46980	HOM000385	GreenPlants
at3g46990	HOM001529	Angiosperms
at3g47000	HOM000370	GreenPlants
at3g47010	HOM000370	GreenPlants
at3g47020	HOM000233	Rosids
at3g47030	HOM000233	Rosids
at3g47040	HOM000370	GreenPlants
at3g47050	HOM000370	GreenPlants
at3g47060	HOM000025	GreenPlants
at3g47070	HOM007298	Eudicots
at3g47080	HOM000577	LandPlants
at3g47090	HOM000002	GreenPlants
at3g47100	HOM092165	AT
at3g47110	HOM000002	GreenPlants
at3g47120	HOM006545	LandPlants
at3g47130	HOM000233	Rosids
at3g47140	HOM000233	Rosids
at3g47150	HOM000233	Rosids
at3g47160	HOM000778	GreenPlants
at3g47170	HOM000062	LandPlants
at3g47180	HOM000196	GreenPlants
at3g47190	HOM000011	GreenPlants
at3g47200	HOM000081	Angiosperms
at3g47210	HOM000081	Angiosperms
at3g47220	HOM000733	GreenPlants
at3g47250	HOM000081	Angiosperms
at3g47290	HOM000733	GreenPlants
at3g47295	HOM020824	Arabidopsis
at3g47300	HOM003256	GreenPlants
at3g47340	HOM001429	GreenPlants
at3g47341	HOM044533	AT
at3g47350	HOM000799	GreenPlants
at3g47360	HOM000799	GreenPlants
at3g47370	HOM000461	GreenPlants
at3g47380	HOM000371	LandPlants
at3g47390	HOM003163	GreenPlants
at3g47400	HOM000034	GreenPlants
at3g47410	HOM028601	Arabidopsis
at3g47420	HOM001183	GreenPlants
at3g47430	HOM000838	GreenPlants
at3g47440	HOM000085	GreenPlants
at3g47450	HOM005399	GreenPlants
at3g47460	HOM001156	GreenPlants
at3g47470	HOM000125	GreenPlants
at3g47480	HOM000014	GreenPlants
at3g47490	HOM002697	LandPlants
at3g47500	HOM000099	GreenPlants
at3g47510	HOM021005	Arabidopsis
at3g47520	HOM000688	GreenPlants
at3g47530	HOM000001	GreenPlants
at3g47540	HOM000272	LandPlants
at3g47543	HOM052726	AT
at3g47550	HOM000596	GreenPlants
at3g47560	HOM000994	GreenPlants
at3g47570	HOM000002	GreenPlants
at3g47580	HOM000002	GreenPlants
at3g47590	HOM000994	GreenPlants
at3g47600	HOM000007	GreenPlants
at3g47610	HOM005771	GreenPlants
at3g47620	HOM000335	LandPlants
at3g47630	HOM004055	GreenPlants
at3g47640	HOM000338	GreenPlants
at3g47650	HOM003284	GreenPlants
at3g47660	HOM000108	GreenPlants
at3g47670	HOM000371	LandPlants
at3g47675	HOM000340	LandPlants
at3g47680	HOM000684	Angiosperms
at3g47690	HOM001563	GreenPlants
at3g47700	HOM002642	LandPlants
at3g47710	HOM000366	GreenPlants
at3g47720	HOM000837	LandPlants
at3g47730	HOM000509	GreenPlants
at3g47740	HOM000509	GreenPlants
at3g47750	HOM000509	GreenPlants
at3g47760	HOM000509	GreenPlants
at3g47770	HOM000509	GreenPlants
at3g47780	HOM000509	GreenPlants
at3g47790	HOM000509	GreenPlants
at3g47800	HOM000943	GreenPlants
at3g47810	HOM003528	GreenPlants
at3g47820	HOM000047	GreenPlants
at3g47830	HOM006405	GreenPlants
at3g47833	HOM005417	Angiosperms
at3g47836	HOM090046	AT
at3g47840	HOM000001	GreenPlants
at3g47850	HOM006692	VascularPlants
at3g47860	HOM006090	LandPlants
at3g47870	HOM000098	LandPlants
at3g47890	HOM003359	GreenPlants
at3g47910	HOM003359	GreenPlants
at3g47920	HOM005315	Arabidopsis
at3g47930	HOM003182	GreenPlants
at3g47940	HOM000147	GreenPlants
at3g47950	HOM000314	GreenPlants
at3g47960	HOM000031	GreenPlants
at3g47965	HOM079723	AT
at3g47980	HOM004830	GreenPlants
at3g47990	HOM000965	GreenPlants
at3g48000	HOM000143	GreenPlants
at3g48010	HOM000123	GreenPlants
at3g48020	HOM001158	VascularPlants
at3g48030	HOM006203	LandPlants
at3g48040	HOM000032	GreenPlants
at3g48050	HOM002529	LandPlants
at3g48060	HOM002529	LandPlants
at3g48070	HOM003038	LandPlants
at3g48080	HOM001661	VascularPlants
at3g48090	HOM001661	VascularPlants
at3g48100	HOM000459	LandPlants
at3g48110	HOM003731	GreenPlants
at3g48120	HOM006424	LandPlants
at3g48131	HOM099770	AT
at3g48140	HOM001475	GreenPlants
at3g48150	HOM002903	GreenPlants
at3g48160	HOM002645	GreenPlants
at3g48170	HOM000143	GreenPlants
at3g48180	HOM006364	Rosids
at3g48185	HOM030135	Arabidopsis
at3g48190	HOM001207	GreenPlants
at3g48195	HOM004950	GreenPlants
at3g48200	HOM003484	LandPlants
at3g48205	HOM015590	Arabidopsis
at3g48208	HOM029776	Arabidopsis
at3g48209	HOM023009	Arabidopsis
at3g48210	HOM001976	GreenPlants
at3g48220	HOM002740	Arabidopsis
at3g48230	HOM000151	LandPlants
at3g48231	HOM011528	Arabidopsis
at3g48237	HOM058878	AT
at3g48240	HOM000420	LandPlants
at3g48250	HOM002874	Angiosperms
at3g48260	HOM000312	GreenPlants
at3g48270	HOM000005	GreenPlants
at3g48280	HOM000005	GreenPlants
at3g48290	HOM000005	GreenPlants
at3g48298	HOM069259	AT
at3g48300	HOM000005	GreenPlants
at3g48310	HOM000005	GreenPlants
at3g48320	HOM000005	GreenPlants
at3g48330	HOM002461	GreenPlants
at3g48340	HOM000058	GreenPlants
at3g48344	HOM052724	AT
at3g48346	HOM065087	AT
at3g48350	HOM000058	GreenPlants
at3g48360	HOM001481	LandPlants
at3g48380	HOM003807	GreenPlants
at3g48390	HOM001172	GreenPlants
at3g48400	HOM000182	LandPlants
at3g48410	HOM000598	LandPlants
at3g48420	HOM001448	GreenPlants
at3g48425	HOM001448	GreenPlants
at3g48430	HOM000331	GreenPlants
at3g48440	HOM000396	GreenPlants
at3g48450	HOM000003	GreenPlants
at3g48460	HOM000086	LandPlants
at3g48470	HOM000976	GreenPlants
at3g48480	HOM006421	Angiosperms
at3g48490	HOM017366	Arabidopsis
at3g48500	HOM006515	LandPlants
at3g48510	HOM002103	Angiosperms
at3g48520	HOM000093	GreenPlants
at3g48530	HOM001653	LandPlants
at3g48540	HOM004461	GreenPlants
at3g48550	HOM005309	Angiosperms
at3g48560	HOM001858	GreenPlants
at3g48570	HOM002186	GreenPlants
at3g48580	HOM000089	LandPlants
at3g48590	HOM000255	GreenPlants
at3g48600	HOM000787	GreenPlants
at3g48610	HOM001075	LandPlants
at3g48620	HOM000448	GreenPlants
at3g48630	HOM001511	GreenPlants
at3g48640	HOM024624	Arabidopsis
at3g48660	HOM000566	LandPlants
at3g48670	HOM000516	GreenPlants
at3g48675	HOM001331	Rosids
at3g48680	HOM000817	GreenPlants
at3g48690	HOM000074	GreenPlants
at3g48700	HOM000074	GreenPlants
at3g48710	HOM002018	GreenPlants
at3g48720	HOM000062	LandPlants
at3g48730	HOM000685	GreenPlants
at3g48740	HOM000160	GreenPlants
at3g48750	HOM000019	GreenPlants
at3g48760	HOM000171	GreenPlants
at3g48770	HOM000019	GreenPlants
at3g48780	HOM001611	GreenPlants
at3g48790	HOM001611	GreenPlants
at3g48800	HOM002340	LandPlants
at3g48810	HOM000003	GreenPlants
at3g48820	HOM002229	LandPlants
at3g48830	HOM001958	GreenPlants
at3g48840	HOM007207	Arabidopsis
at3g48850	HOM001044	GreenPlants
at3g48860	HOM000254	GreenPlants
at3g48870	HOM000309	GreenPlants
at3g48880	HOM000710	GreenPlants
at3g48890	HOM001057	GreenPlants
at3g48900	HOM006681	VascularPlants
at3g48920	HOM000007	GreenPlants
at3g48930	HOM001773	GreenPlants
at3g48940	HOM000731	GreenPlants
at3g48950	HOM000297	GreenPlants
at3g48960	HOM001722	GreenPlants
at3g48970	HOM000146	GreenPlants
at3g48980	HOM000616	GreenPlants
at3g48990	HOM000226	GreenPlants
at3g49000	HOM003608	GreenPlants
at3g49010	HOM001722	GreenPlants
at3g49020	HOM000115	GreenPlants
at3g49030	HOM000115	GreenPlants
at3g49040	HOM000115	GreenPlants
at3g49050	HOM001445	LandPlants
at3g49051	HOM034281	AT
at3g49055	HOM002407	LandPlants
at3g49060	HOM000166	GreenPlants
at3g49070	HOM001228	LandPlants
at3g49080	HOM002332	GreenPlants
at3g49100	HOM004625	GreenPlants
at3g49110	HOM000012	LandPlants
at3g49115	HOM034271	AT
at3g49120	HOM000012	LandPlants
at3g49130	HOM001634	GreenPlants
at3g49140	HOM001551	GreenPlants
at3g49142	HOM000001	GreenPlants
at3g49150	HOM000206	Eudicots
at3g49160	HOM000253	GreenPlants
at3g49170	HOM000001	GreenPlants
at3g49180	HOM001739	GreenPlants
at3g49190	HOM000551	LandPlants
at3g49200	HOM000551	LandPlants
at3g49210	HOM000551	LandPlants
at3g49220	HOM000034	GreenPlants
at3g49230	HOM062993	AT
at3g49240	HOM000003	GreenPlants
at3g49250	HOM001430	LandPlants
at3g49260	HOM000228	GreenPlants
at3g49270	HOM017012	Arabidopsis
at3g49290	HOM000830	LandPlants
at3g49300	HOM011929	Arabidopsis
at3g49305	HOM011929	Arabidopsis
at3g49307	HOM011929	Arabidopsis
at3g49310	HOM002017	GreenPlants
at3g49320	HOM002580	GreenPlants
at3g49330	HOM012993	Arabidopsis
at3g49340	HOM000058	GreenPlants
at3g49350	HOM001799	GreenPlants
at3g49360	HOM001298	GreenPlants
at3g49370	HOM000014	GreenPlants
at3g49380	HOM000725	Angiosperms
at3g49390	HOM000952	GreenPlants
at3g49400	HOM003249	GreenPlants
at3g49410	HOM003954	GreenPlants
at3g49420	HOM000292	GreenPlants
at3g49430	HOM000698	GreenPlants
at3g49440	HOM000233	Rosids
at3g49450	HOM000233	Rosids
at3g49460	HOM050679	AT
at3g49470	HOM000001	GreenPlants
at3g49480	HOM000115	GreenPlants
at3g49490	HOM020596	Arabidopsis
at3g49500	HOM000694	LandPlants
at3g49510	HOM000209	Arabidopsis
at3g49520	HOM000209	Arabidopsis
at3g49530	HOM000018	LandPlants
at3g49540	HOM022014	Arabidopsis
at3g49550	HOM004486	GreenPlants
at3g49551	HOM046597	AT
at3g49560	HOM003559	GreenPlants
at3g49570	HOM005808	Rosids
at3g49580	HOM005808	Rosids
at3g49590	HOM002097	LandPlants
at3g49600	HOM001407	GreenPlants
at3g49601	HOM002626	GreenPlants
at3g49610	HOM002392	Rosids
at3g49620	HOM000011	GreenPlants
at3g49630	HOM000011	GreenPlants
at3g49640	HOM004759	GreenPlants
at3g49645	HOM005796	VascularPlants
at3g49650	HOM000030	GreenPlants
at3g49660	HOM000090	GreenPlants
at3g49670	HOM000002	GreenPlants
at3g49680	HOM000949	GreenPlants
at3g49690	HOM000007	GreenPlants
at3g49700	HOM000557	GreenPlants
at3g49710	HOM000001	GreenPlants
at3g49720	HOM002261	LandPlants
at3g49725	HOM002294	GreenPlants
at3g49730	HOM000003	GreenPlants
at3g49740	HOM000001	GreenPlants
at3g49744	HOM052750	AT
at3g49750	HOM000002	GreenPlants
at3g49760	HOM000332	GreenPlants
at3g49770	HOM028592	Arabidopsis
at3g49780	HOM002730	Eudicots
at3g49790	HOM002197	GreenPlants
at3g49796	HOM085951	AT
at3g49800	HOM001549	LandPlants
at3g49810	HOM000047	GreenPlants
at3g49820	HOM013603	Arabidopsis
at3g49830	HOM001486	GreenPlants
at3g49840	HOM002158	LandPlants
at3g49845	HOM090060	AT
at3g49850	HOM001024	GreenPlants
at3g49860	HOM000113	GreenPlants
at3g49870	HOM000113	GreenPlants
at3g49880	HOM000892	GreenPlants
at3g49890	HOM006544	LandPlants
at3g49900	HOM000092	GreenPlants
at3g49910	HOM001377	GreenPlants
at3g49920	HOM000674	GreenPlants
at3g49930	HOM000155	LandPlants
at3g49940	HOM000711	LandPlants
at3g49950	HOM000042	GreenPlants
at3g49960	HOM000012	LandPlants
at3g49970	HOM000092	GreenPlants
at3g49980	HOM000209	Arabidopsis
at3g49990	HOM004106	LandPlants
at3g50000	HOM000019	GreenPlants
at3g50010	HOM000182	LandPlants
at3g50020	HOM012549	Arabidopsis
at3g50022	HOM083849	AT
at3g50030	HOM001778	LandPlants
at3g50040	HOM002956	VascularPlants
at3g50050	HOM000037	GreenPlants
at3g50060	HOM000007	GreenPlants
at3g50070	HOM000240	GreenPlants
at3g50080	HOM001019	LandPlants
at3g50090	HOM001019	LandPlants
at3g50100	HOM001019	LandPlants
at3g50110	HOM001861	GreenPlants
at3g50120	HOM000081	Angiosperms
at3g50123	HOM040419	AT
at3g50130	HOM000081	Angiosperms
at3g50140	HOM000081	Angiosperms
at3g50150	HOM000081	Angiosperms
at3g50160	HOM000081	Angiosperms
at3g50170	HOM000081	Angiosperms
at3g50180	HOM000081	Angiosperms
at3g50190	HOM000081	Angiosperms
at3g50200	HOM000081	Angiosperms
at3g50210	HOM000011	GreenPlants
at3g50220	HOM000646	LandPlants
at3g50230	HOM000063	GreenPlants
at3g50240	HOM000030	GreenPlants
at3g50250	HOM023882	AT
at3g50260	HOM000010	GreenPlants
at3g50270	HOM000359	VascularPlants
at3g50280	HOM000359	VascularPlants
at3g50290	HOM000359	VascularPlants
at3g50300	HOM000359	VascularPlants
at3g50310	HOM000043	GreenPlants
at3g50320	HOM056808	AT
at3g50330	HOM000454	LandPlants
at3g50337	HOM088030	AT
at3g50340	HOM002192	LandPlants
at3g50350	HOM000995	VascularPlants
at3g50360	HOM000014	GreenPlants
at3g50370	HOM004453	LandPlants
at3g50373	HOM016670	Arabidopsis
at3g50380	HOM003216	LandPlants
at3g50390	HOM000481	GreenPlants
at3g50400	HOM000029	LandPlants
